ngram,n,predicted
the,1470621,the
to,961693,to
and,792290,and
a,785464,a
i,748031,i
of,644819,of
in,510087,in
you,423909,you
is,406061,is
for,387501,for
that,359622,that
it,354057,it
on,285498,on
my,282229,my
with,239994,with
this,215620,this
was,206836,was
be,203691,be
have,198445,have
at,186755,at
are,181000,are
me,170965,me
but,169363,but
so,165923,so
we,162827,we
as,154116,as
not,152444,not
your,136415,your
all,134094,all
just,126810,just
from,121476,from
out,114272,out
up,112308,up
what,112116,what
like,111793,like
if,109567,if
or,109037,or
he,108198,he
they,108035,they
will,107753,will
one,106603,one
about,106454,about
do,100141,do
can,95963,can
by,95576,by
when,95522,when
get,93080,get
an,92535,an
time,83220,time
i'm,83081,i'm
more,80460,more
there,79688,there
his,77911,his
had,77478,had
some,77463,some
love,75460,love
good,75008,good
our,74973,our
has,74442,has
no,74324,no
who,74018,who
her,72502,her
now,71981,now
how,71410,how
day,71295,day
know,70274,know
would,69481,would
new,64595,new
it's,63876,it's
been,63380,been
she,63096,she
their,62199,their
them,60776,them
see,58948,see
go,57940,go
its,57074,its
people,56804,people
were,56773,were
back,55056,back
great,53702,great
us,53409,us
don't,52385,don't
think,51572,think
am,50435,am
make,50073,make
going,48745,going
too,48665,too
really,48267,really
thanks,48145,thanks
then,47839,then
much,47616,much
today,47541,today
only,47220,only
rt,44548,rt
got,44482,got
into,44041,into
well,44034,well
which,43791,which
than,43574,than
want,43445,want
way,42942,way
first,42866,first
over,42437,over
because,41738,because
need,40925,need
right,40867,right
here,40531,here
work,40261,work
did,40216,did
him,40017,him
even,39872,even
other,39660,other
still,39019,still
last,38548,last
u,38404,u
very,37839,very
also,37776,also
could,37301,could
after,37224,after
said,36899,said
life,36824,life
off,35809,off
lol,34603,lol
any,33942,any
where,33777,where
come,33480,come
should,33279,should
little,32882,little
never,32739,never
why,32406,why
these,32344,these
say,32294,say
down,32048,down
being,31852,being
take,31568,take
year,31504,year
happy,31383,happy
two,31135,two
im,30593,im
many,30469,many
things,30358,things
most,30234,most
night,30156,night
those,30125,those
best,30009,best
before,29032,before
something,28870,something
next,28729,next
made,28523,made
always,28314,always
can't,28312,can't
week,28112,week
home,26670,home
may,26611,may
follow,26540,follow
better,25940,better
look,25860,look
while,25726,while
years,25460,years
hope,25350,hope
world,25084,world
feel,24916,feel
through,24910,through
every,24611,every
around,24601,around
again,24483,again
show,24456,show
sure,23948,sure
tonight,23790,tonight
thank,23701,thank
that's,23428,that's
another,23073,another
man,22989,man
thing,22891,thing
long,22651,long
ever,22500,ever
few,22248,few
you're,22247,you're
find,22243,find
dont,22144,dont
big,21884,big
same,21735,same
getting,21729,getting
let,21687,let
oh,21112,oh
use,20761,use
i've,20723,i've
keep,20639,keep
game,20630,game
school,20555,school
looking,20478,looking
does,20452,does
please,19988,please
yes,19906,yes
book,19880,book
help,19872,help
days,19827,days
everyone,19644,everyone
doing,19621,doing
own,19540,own
god,19392,god
give,19371,give
morning,19277,morning
fun,18936,fun
old,18851,old
since,18672,since
such,18353,such
i'll,18335,i'll
put,18260,put
lot,18207,lot
though,18206,though
thought,18145,thought
friends,17829,friends
tell,17763,tell
someone,17681,someone
until,17644,until
place,17516,place
away,17358,away
done,17320,done
wait,17215,wait
free,16872,free
house,16860,house
bad,16740,bad
nice,16709,nice
start,16644,start
having,16598,having
each,16581,each
both,16554,both
read,16531,read
tomorrow,16503,tomorrow
pretty,16478,pretty
didn't,16475,didn't
live,16463,live
family,16386,family
th,16361,th
might,16356,might
part,16205,part
used,16164,used
end,16128,end
twitter,15990,twitter
weekend,15609,weekend
went,15477,went
try,15362,try
real,15322,real
call,15319,call
music,15298,music
hard,15013,hard
yet,15007,yet
actually,14981,actually
without,14975,without
enough,14845,enough
awesome,14649,awesome
coming,14528,coming
soon,14496,soon
already,14392,already
play,14357,play
makes,14303,makes
must,14299,must
making,14214,making
hey,14199,hey
found,14161,found
working,14141,working
check,14138,check
everything,14135,everything
stop,14129,stop
maybe,14074,maybe
nothing,13898,nothing
story,13829,story
d,13827,d
left,13791,left
trying,13782,trying
haha,13692,haha
myself,13664,myself
times,13643,times
amazing,13561,amazing
anything,13544,anything
girl,13418,girl
once,13256,once
food,13201,food
s,13198,s
anyone,13155,anyone
guys,13068,guys
bit,13041,bit
pm,13026,pm
post,13025,post
came,12998,came
watching,12910,watching
person,12888,person
three,12821,three
name,12777,name
different,12754,different
talk,12666,talk
ready,12657,ready
kids,12644,kids
miss,12493,miss
yeah,12492,yeah
friend,12444,friend
believe,12379,believe
team,12357,team
blog,12340,blog
set,12320,set
job,12261,job
money,12252,money
point,12222,point
head,12211,head
watch,12191,watch
wish,12138,wish
between,12131,between
together,12115,together
far,12098,far
high,11908,high
cool,11799,cool
course,11785,course
beautiful,11775,beautiful
started,11759,started
gonna,11725,gonna
least,11680,least
city,11646,city
saw,11642,saw
hear,11592,hear
told,11569,told
change,11565,change
took,11530,took
wanted,11493,wanted
kind,11459,kind
top,11431,top
room,11349,room
during,11321,during
true,11317,true
mind,11299,mind
remember,11295,remember
says,11277,says
mean,11271,mean
hate,11171,hate
party,11123,party
we're,11100,we're
favorite,11082,favorite
called,11073,called
run,11014,run
win,10904,win
friday,10889,friday
idea,10870,idea
probably,10815,probably
open,10810,open
heart,10782,heart
birthday,10745,birthday
almost,10728,almost
finally,10704,finally
whole,10689,whole
excited,10566,excited
doesn't,10509,doesn't
full,10497,full
state,10496,state
white,10482,white
else,10418,else
hours,10328,hours
looks,10289,looks
st,10262,st
able,10165,able
forward,10164,forward
seen,10152,seen
following,10143,following
black,10110,black
small,10086,small
later,10047,later
minutes,10042,minutes
movie,10025,movie
thinking,9970,thinking
class,9909,class
tweet,9907,tweet
word,9873,word
using,9868,using
baby,9850,baby
thats,9826,thats
fact,9795,fact
w,9782,w
early,9776,early
past,9717,past
less,9706,less
shit,9704,shit
cant,9703,cant
others,9689,others
care,9687,care
face,9678,face
water,9675,water
guy,9651,guy
second,9651,second
ago,9650,ago
stuff,9645,stuff
stay,9607,stay
season,9602,season
under,9588,under
news,9583,news
against,9522,against
he's,9476,he's
side,9472,side
sometimes,9468,sometimes
business,9466,business
song,9423,song
children,9422,children
sorry,9394,sorry
reading,9386,reading
enjoy,9345,enjoy
ask,9324,ask
words,9321,words
mom,9318,mom
ok,9278,ok
taking,9254,taking
support,9246,support
writing,9114,writing
comes,9085,comes
hit,9082,hit
i'd,9070,i'd
quite,9047,quite
sleep,9009,sleep
summer,8997,summer
weeks,8984,weeks
playing,8972,playing
car,8971,car
leave,8909,leave
books,8907,books
what's,8873,what's
guess,8864,guess
phone,8761,phone
feeling,8759,feeling
seems,8713,seems
talking,8693,talking
bring,8690,bring
add,8640,add
heard,8637,heard
beer,8631,beer
needs,8628,needs
hot,8621,hot
women,8568,women
however,8548,however
means,8525,means
wrong,8479,wrong
often,8471,often
perfect,8456,perfect
month,8443,month
glad,8437,glad
half,8406,half
become,8376,become
ive,8361,ive
along,8348,along
didnt,8341,didnt
line,8308,line
couple,8289,couple
share,8191,share
eat,8157,eat
lost,8153,lost
there's,8146,there's
hand,8117,hand
buy,8086,buy
video,8082,video
young,8047,young
meet,8018,meet
welcome,7976,welcome
girls,7973,girls
either,7942,either
instead,7934,instead
case,7896,case
gets,7895,gets
asked,7881,asked
moment,7880,moment
number,7863,number
sweet,7856,sweet
late,7836,late
red,7809,red
months,7797,months
rather,7780,rather
saying,7756,saying
crazy,7738,crazy
list,7731,list
knew,7728,knew
group,7723,group
reason,7720,reason
email,7708,email
yourself,7705,yourself
light,7701,light
special,7692,special
social,7691,social
let's,7676,let's
public,7641,public
important,7628,important
goes,7627,goes
easy,7588,easy
problem,7573,problem
move,7564,move
write,7551,write
men,7523,men
hour,7519,hour
experience,7515,experience
close,7512,close
turn,7503,turn
wanna,7503,wanna
ur,7497,ur
power,7491,power
ya,7457,ya
bed,7434,bed
funny,7421,funny
rest,7399,rest
question,7397,question
wow,7390,wow
order,7370,order
isn't,7363,isn't
hair,7319,hair
cause,7301,cause
cut,7260,cut
film,7254,film
outside,7251,outside
body,7211,body
art,7191,art
sunday,7177,sunday
sounds,7176,sounds
running,7151,running
decided,7144,decided
local,7098,local
living,7089,living
saturday,7073,saturday
wonderful,7072,wonderful
loved,7059,loved
interesting,7054,interesting
learn,7023,learn
card,7002,card
felt,7002,felt
matter,6996,matter
future,6971,future
ass,6946,ass
eyes,6940,eyes
seeing,6932,seeing
event,6930,event
country,6925,country
plan,6903,plan
woman,6883,woman
hell,6816,hell
fuck,6814,fuck
paper,6803,paper
american,6798,american
behind,6783,behind
media,6755,media
yesterday,6721,yesterday
understand,6713,understand
christmas,6710,christmas
walk,6682,walk
project,6673,project
damn,6663,damn
short,6655,short
break,6649,break
facebook,6628,facebook
send,6607,send
four,6603,four
waiting,6599,waiting
definitely,6586,definitely
series,6585,series
dinner,6570,dinner
boy,6561,boy
haven't,6554,haven't
ones,6550,ones
students,6548,students
given,6540,given
games,6535,games
chance,6510,chance
won't,6498,won't
gone,6492,gone
b,6485,b
okay,6482,okay
especially,6475,especially
office,6473,office
picture,6453,picture
n,6422,n
ill,6417,ill
wants,6376,wants
happen,6374,happen
company,6373,company
front,6369,front
needed,6358,needed
gave,6357,gave
lots,6321,lots
online,6321,online
monday,6318,monday
p,6297,p
tv,6291,tv
meeting,6285,meeting
fall,6282,fall
visit,6275,visit
child,6264,child
mother,6259,mother
history,6257,history
green,6243,green
store,6231,store
starting,6206,starting
pick,6188,pick
fan,6179,fan
super,6139,super
deal,6126,deal
pay,6113,pay
several,6112,several
area,6095,area
parents,6075,parents
they're,6065,they're
sense,6050,sense
single,6050,single
page,6033,page
fans,5986,fans
tried,5984,tried
looked,5960,looked
john,5956,john
rock,5950,rock
forget,5942,forget
service,5938,service
worth,5924,worth
coffee,5896,coffee
wasn't,5890,wasn't
street,5888,street
luck,5870,luck
across,5854,across
omg,5850,omg
gotta,5847,gotta
lunch,5822,lunch
happened,5801,happened
